nom_liste;nuance;voix;Annee;Election;Tour;Inscrits;Votants;Exprimes;Participation;Region;Code;Clef;Date
;LDVG;94312;2017;Presidentielles;2;369462;287353;252304;0.6828956699200459;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;COM;173809;2017;Presidentielles;2;415950;322820;285230;0.6857314581079457;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;VEC;111421;2017;Presidentielles;2;415950;322820;285230;0.6857314581079457;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;SOC;219437;2017;Presidentielles;2;460919;355885;307592;0.6673450215764593;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;DIV;88155;2017;Presidentielles;2;460919;355885;307592;0.6673450215764593;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;;218603;2017;Presidentielles;2;510903;387541;342317;0.6700234682513119;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;;123714;2017;Presidentielles;2;510903;387541;342317;0.6700234682513119;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;ECO;249198;2017;Presidentielles;2;538007;410371;362944;0.6746083229400361;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;ECO;113746;2017;Presidentielles;2;538007;410371;362944;0.6746083229400361;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;;383197;2017;Presidentielles;2;856330;653687;582294;0.6799878551492999;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;;199097;2017;Presidentielles;2;856330;653687;582294;0.6799878551492999;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;FN;572015;2017;Presidentielles;2;1155506;865658;777332;0.672720003184752;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;DIV;205317;2017;Presidentielles;2;1155506;865658;777332;0.672720003184752;Auvergne-Rhone-Alpes;84;Presidentielles22017;07/05/2017
;UG;47211;2017;Presidentielles;2;109892;84997;73628;0.6700032759436537;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
;UD;26417;2017;Presidentielles;2;109892;84997;73628;0.6700032759436537;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
;FG;48994;2017;Presidentielles;2;126459;97204;83811;0.6627523545180651;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
;DVD;34817;2017;Presidentielles;2;126459;97204;83811;0.6627523545180651;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
;FN;145965;2017;Presidentielles;2;402307;308199;273078;0.6787801355681109;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
;LR;127113;2017;Presidentielles;2;402307;308199;273078;0.6787801355681109;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
